"CATSFX","SUBSPECIES","AGE","SEX","MASS","WCH","TL","TS","BL","BLH","BLW","SKL"
27914,"maxima","AD","M",45,81,83,28,11.9,7.4,5.6,38.5
27919,"maxima","AD","M",48,83.1,73,29.1,11.8,6.8,6.1,38.9
10188,"maxima","AHY","M",50.2,81.6,81,28.6,12.3,7.9,6.5,38.7
10186,"maxima","AHY","M",44.8,83.9,82.9,28.3,12.6,7.1,6.6,39.2
11175,"maxima","AHY","M",45.4,76.3,75.3,27.2,12.5,7.1,5.8,39.7
11827,"maxima","AD","M",50,81.5,84.4,29.3,12.4,7.2,6.2,38.2
11176,"maxima","AHY","M",46.2,82.5,78.1,29.4,12.6,7.3,5.3,40.4
11562,"maxima","AHY","M",44.4,82.6,80,22.4,18.6,7.7,5.3,38.9
11561,"maxima","AHY","M",47.1,83.1,74.4,26.5,13.9,7.5,5.6,39.7
11558,"maxima","AHY","M",49.1,83.1,82,27.8,12.8,7.5,6.3,39.8
11267,"maxima","AHY","M",47.1,83.3,77,26.9,13.2,7.7,5.9,40
11559,"maxima","AHY","M",47.2,83.4,82.4,27.9,12.5,7.3,5.4,38.5
11177,"maxima","AHY","M",47.7,83.7,81.3,26.3,12.3,7.3,6.1,39.3
36278,"maxima","AHY","M",47.5,84.4,79.5,29,12.9,7.8,5.4,40.1
11178,"maxima","AHY","M",47,85.7,80.6,29,13.2,5.7,5.7,40.1
11280,"maxima","AHY","M",50.5,86.2,74.7,29,13,7,6.1,39.1
11268,"maxima","AHY","M",49.6,89.9,81,26.8,13.4,7.3,5.4,40.5
36552,"maxima","AHY","M",49,85,77,26.3,13.5,8.2,6.2,39.6
8461,"maxima","AD","M",49.5,84.3,79.5,29.5,3.3,17.5,6.5,40.2
15319,"maxima","AHY","M",45.5,62.5,71.3,26.1,12.1,7.3,5.8,36
10942,"maxima","AHY","M",48,78.7,75.2,26.8,12.8,7.5,6.2,39.8
11048,"maxima","AD","M",46.5,80.5,82.5,27,13,12.4,6.6,32.3
13059,"maxima","AHY","M",49.7,80.7,73.5,27.9,13.2,7.3,6.2,39.8
10040,"maxima","AHY","M",48.7,80.7,77.8,28.7,11.2,7.6,6.8,38.6
15326,"maxima","AHY","M",46.3,81,77.8,25.6,12.4,8.1,6.1,39.7
11511,"maxima","AD","M",46.8,81.1,71.3,28.5,11.7,7.4,5.3,38.6
15340,"maxima","AHY","M",47.3,81.7,75.3,28,13.1,7.7,5.9,40
15312,"maxima","AHY","M",44,81,76,26.9,15,7.4,6.4,36.8
15307,"maxima","AD","M",45.1,82,85,27.5,12.7,7.8,4.6,36.2
10179,"maxima","AD","M",45.1,82.4,80.2,28.2,13.9,7.7,6.5,36.5
11229,"maxima","AD","M",42.1,82.5,78.7,27.5,13.1,7.3,6,38
15353,"maxima","AHY","M",48.2,82.7,77.4,26.5,7.8,7.3,5.3,39.8
14611,"maxima","AHY","M",48,82.8,80.7,28.3,12.4,7.8,5,39.1
15321,"maxima","AHY","M",49,83.2,78.2,26.4,12.1,7.2,5.8,38.1
15298,"maxima","AHY","M",47,83.5,70.4,26.8,12.7,7.8,5.7,39.5
15305,"maxima","AD","M",46,83.5,82,30.8,12.7,7.6,5.4,38.3
15367,"maxima","AD","M",48.2,84,81.9,30,11.9,7.4,4.8,38.9
10165,"maxima","AD","M",47.9,84.8,79.6,29.8,12.8,8.7,5.7,39
15339,"maxima","AHY","M",45.8,84.9,82.5,29.6,12.9,7.8,5.3,39.2
10041,"maxima","AHY","M",47.9,85.1,82.8,29.3,12.8,7.9,7.8,39
10946,"maxima","AHY","M",48.3,85.9,80.7,29.6,13.3,7.1,5.6,40.3
13186,"maxima","AD","M",48.7,86.5,88,29.2,12.1,7.8,5.7,38.6
15315,"maxima","AHY","M",51,86.8,77.1,26.6,13.2,7.4,6.4,39.9
15344,"maxima","AHY","M",49.8,87.6,79.3,30.6,12.8,7.4,5.8,39.6
10170,"maxima","AHY","M",47.2,85.6,77.3,28.4,13,7.4,5.7,39.6
11291,"maxima","AD","M",48.2,81.9,78.8,27.1,11.9,7.1,6,38.5
11295,"maxima","AD","M",47.6,82.3,77.8,26.3,12.3,7.2,5.5,38.6
11297,"maxima","AD","M",45.5,85.6,81.2,26.6,12.2,7.4,5.8,39
11294,"maxima","AD","M",50.1,86.1,79.2,28.2,12.9,7.4,6.1,40.1
11296,"maxima","AD","M",48.4,86.3,83.6,28.1,12.2,7.3,6.1,39.1
11289,"maxima","AD","M",48.6,87.5,87.3,27.9,13.1,7.8,6.3,39.7
13160,"maxima","AHY","M",49.4,87,80.3,22.5,12.9,7.4,9.3,38.7
15323,"maxima","AHY","M",41.9,77.6,74.3,24.5,11.5,7.5,6.2,36.8
8779,"maxima","AHY","M",49.5,85.2,79.4,24.9,12.5,7.4,7.5,39.1
15318,"maxima","AHY","M",46.8,79.8,71.6,21.3,11.4,7.1,6.4,32.7
27848,"maxima","AD","M",40,84,83,26.8,13.3,7.4,6.5,40.4
36621,"maxima","AHY","M",43.2,82.1,77.4,27.7,12.3,7.4,6.1,39.6
36623,"maxima","AHY","M",45.7,83.6,78.5,27.7,11.7,7.5,5.8,38.2
36618,"maxima","AHY","M",46,85.2,83.6,29.5,12.8,7.8,5.9,40
36622,"maxima","AHY","M",47.3,82.2,77,28.8,12.4,7.6,6,39.7
27852,"maxima","AD","M",50,81,81,28.1,12.6,7.4,5.9,40.7
38590,"maxima","AHY","M",44.5,84.1,82.7,27.6,12.9,7.2,5.6,38.7
15116,"maxima","AHY","M",44,81,75.2,25.5,12.8,7.4,6,39.6
36620,"maxima","AHY","M",46,82.2,77.2,28,12.2,7.3,5.8,39.3
34715,"maxima","AD","M",46,82.4,78.5,29.5,12.9,7,6.4,40
31442,"maxima","AD","M",44,82.9,78.5,28.2,12.5,7.3,5.4,38.9
15117,"maxima","AHY","M",43.9,83.3,80.1,26.2,12.6,7.3,5.9,38.7
15115,"maxima","AHY","M",45.4,83.6,82.4,26.2,13.3,7.9,6,39.9
11173,"maxima","AHY","M",45.5,84.4,82.2,26.8,12.1,8,5.7,39.6
11174,"maxima","AHY","M",48,84.5,83.5,27.1,12.9,7.6,5.5,40.2
41447,"maxima","AD","M",44,84.8,74.1,28.6,12.5,7.7,5.2,39.6
11270,"maxima","AHY","M",46.1,85.1,76.1,26.5,12.6,7.5,6,39.5
31441,"maxima","AD","M",46.5,85.4,78.9,28.7,12.7,7.9,5.8,39.5
34547,"maxima","AD","M",43,85.4,80.5,28,13,7,5.5,39.8
21908,"maxima","AD","M",42.6,82.7,75.8,27.6,12,6.6,6.1,38.5
34544,"maxima","AHY","M",44,84.1,75.3,29,13,7.6,6,39.8
34545,"maxima","AHY","M",49.5,79.7,74.5,27.3,12.4,6.9,5.6,38.4
27880,"maxima","AD","M",45,80,70,26.8,11.6,7,5.6,38.8
27858,"maxima","AD","M",47,83,82,27.5,11.2,7,6,37.9
27882,"maxima","AD","M",45,78,75,28.3,11.9,7.3,5.9,38.7
27884,"maxima","AD","M",45.5,79,69,27.9,11.7,7.4,5.9,38.4
27883,"maxima","AD","M",42,82,70,27.5,11.7,7,5.8,38.5
11227,"maxima","AD","M",40.8,78.1,75.7,24.9,14.3,8,6.6,36.7
8612,"maxima","AHY","M",41.5,78.5,78.6,25.1,11.3,6.9,6.2,33
15299,"maxima","AHY","M",43.4,79.3,66.8,25.7,12.6,7.3,5.8,38.6
15358,"maxima","AHY","M",46,80,74,25.8,12.7,7.3,6,39.1
15304,"maxima","AHY","M",46.4,81.2,79.8,25.3,13.3,7.4,5.9,38.5
15343,"maxima","AD","M",43.7,81.3,79.2,28.3,13.4,6.9,5.9,39.9
15354,"maxima","AHY","M",46.4,82,79.2,28.9,12,7,5.8,39.7
14165,"maxima","AHY","M",48.5,82,76,33.5,13.3,8,5.8,39
9305,"maxima","AHY","M",49.3,83.1,83.2,26.1,12.3,7.4,7.6,30.9
15330,"maxima","AHY","M",45.9,83.2,81.7,27,12.6,7.4,6.3,37.3
15342,"maxima","AD","M",45.3,83.3,83.2,33.6,12.2,7.3,6.2,36.7
8462,"maxima","AHY","M",43.7,83.4,79.4,23.9,10.3,8,6.3,37.3
9302,"maxima","AHY","M",57.6,83.8,76.5,26.8,12.8,7.4,5,40
15378,"maxima","AHY","M",48,83.9,85,26.7,13,8.1,6.3,39.9
15356,"maxima","AHY","M",44,83,78,28,12.5,7.5,5.9,38.9
15331,"maxima","AHY","M",42.6,84,81.5,27.5,12.3,7.3,6.1,38.8
15302,"maxima","AHY","M",47,84.2,80.6,26.8,13,7.2,5.9,38.9
15313,"maxima","AHY","M",47.4,84,75,27.5,14.4,8.4,6.7,39.4
15352,"maxima","AHY","M",46.2,85.8,76.1,28.4,13,7.9,5.4,38.9
8463,"maxima","AHY","M",39,87.3,79.8,24.3,8.2,6.9,7,39.5
20672,"maxima","AHY","M",41.4,86,86,28.6,11.8,7,4.5,39
10073,"maxima","AHY","M",45.4,76.7,78.5,28.3,12.2,6.8,10.3,38.3
15363,"maxima","AHY","M",50,83,77.9,29.7,13,7,6,39.8
20674,"maxima","AHY","M",41.5,83,87,29.2,11.2,7.3,5.1,36.5
20518,"maxima","AHY","M",40.3,83,96,28.7,11.4,7.1,3.5,37.8
15320,"maxima","AHY","M",49,82.3,79.8,26.8,13.6,7.3,5.8,40
19048,"maxima","AD","M",43.8,78,83,28.5,12,7.2,5.7,38.3
10944,"maxima","AHY","M",44.1,80,76.2,27.1,12.6,7.7,5.9,39.5
13128,"maxima","AD","M",43.8,80,79.2,27.2,12.4,7.2,5.1,38.6
11243,"maxima","AHY","M",44.5,81.4,80.9,28,11,7.4,5.7,37.3
9418,"maxima","AD","M",44.2,82.2,74.1,24.6,12.8,7.9,7.3,39.7
11244,"maxima","AHY","M",46.3,83.4,84.4,26.6,12.2,6.5,5.8,38.6
8781,"maxima","AHY","M",45.7,86.5,81.1,27.5,11.5,7.7,7.5,37.9
9602,"maxima","AD","M",43.7,85,78,27.9,12.5,7.4,6.6,39.2
27911,"maxima","AD","M",45.5,81,76,27.5,12.8,7.4,5.8,38.9
27913,"maxima","AD","M",46.5,82,81,27.2,11.9,7,6.9,38.3
27910,"maxima","AD","M",45.5,84,75,27,11.6,6.5,6.1,38.3
27907,"maxima","AD","M",43,80,75,27.5,12.7,7.8,6.1,38.4
11363,"maxima","AHY","M",45.7,79.3,73.5,38.9,13.1,7.4,5.2,39.5
11825,"maxima","AD","M",44.2,81.4,86.2,26.6,12.4,7.1,5.5,38.5
11171,"maxima","AHY","M",44.5,85.1,79.7,28.7,13.2,8.2,6,39.3
22257,"maxima","AHY","M",43,84.1,78.9,24.6,11.7,7.4,6.5,38.6
11381,"sanaka","AHY","M",44.5,81.8,78.8,27.4,12.3,6.9,5.2,38.4
11362,"sanaka","AHY","M",43.3,82.1,74,25.3,12.2,6.4,5.1,39.2
37189,"sanaka","AHY","M",41,83,75.4,27.4,12,7.6,5.3,38.4
11236,"sanaka","AHY","M",47.1,81.9,80.4,28.5,12.3,7.4,5.2,36.5
11237,"sanaka","AHY","M",47,87.2,82.3,26.5,11.2,7.1,4.9,37.9
15374,"sanaka","AHY","M",46.3,84.9,81,27.2,12.8,6.9,6.1,38.4
15334,"sanaka","AHY","M",45.9,82,74.8,27.5,12.5,7,6.2,37.6
18514,"sanaka","AHY","M",47.5,82.7,78.6,27.4,12.1,7.3,5.6,39.4
15384,"sanaka","AHY","M",44.7,83.7,79.2,24.3,12.4,7,5.6,39.3
15335,"sanaka","AHY","M",47.2,84.1,75.8,28.4,12.8,7.7,5.9,39.4
11238,"sanaka","AHY","M",46.3,85.8,83.6,26.5,12.9,7,5.7,39.4
13903,"sanaka","AD","M",50.2,82.3,78.1,28,12.5,7,5,39.6
28555,"sanaka","AD","M",47,88,84.5,27.7,12.3,6.4,5.2,39.4
10091,"sanaka","AD","M",44.6,84.8,75.7,26.2,11.9,5.8,8,38.1
10171,"sanaka","AHY","M",42.7,82.1,73.3,28.5,13.8,6.8,5.6,39.5
11379,"sanaka","AHY","M",44.3,83.9,70.2,26.7,13,5.8,5,39.5
10187,"sanaka","AHY","M",44.8,87.5,90.7,27.9,13.1,6.2,5.8,38.9
12142,"sanaka","AD","M",48.5,82.8,82.1,28.2,13,7.3,6,38.1
30144,"sanaka","AHY","M",46,83.9,74.8,27.2,12.1,6.5,5.8,38.8
30139,"sanaka","AHY","M",43,85.1,76.2,26,12.9,12.1,5.4,39.2
30141,"sanaka","AHY","M",43.5,86,78.3,27.2,12.4,6.4,5.8,39
30142,"sanaka","AHY","M",44,86.2,78.3,25.8,12,6.2,5.2,38.9
35424,"sanaka","AD","M",45.5,81.9,72.2,27.1,12.8,5.2,5.2,39.9
35423,"sanaka","AD","M",44.5,82.5,72.5,26.4,13.1,7.2,5,39.9
35421,"sanaka","AD","M",43.5,85.4,81.5,28.1,12.5,6.8,5.2,39.6
27876,"sanaka","AD","M",46.5,78,82,27.5,12.6,6.9,5.8,39.7
27877,"sanaka","AD","M",43.5,81,77,25.3,11.6,6.7,5.6,38.8
27878,"sanaka","AD","M",48,84,80,26.2,11.9,6.9,5.9,37.2
31879,"sanaka","AD","M",46.5,79.5,76.4,26.9,12.2,6.6,5,38.8
31880,"sanaka","AD","M",48,84,80.2,26.2,12.4,6.8,5.5,38
35415,"sanaka","AD","M",41,81.1,74.8,26.7,12.4,6.2,5,38.4
35416,"sanaka","AD","M",47,86.6,81,27.1,13.1,6.7,5.6,39.8
29243,"sanaka","AD","M",46,78.6,71.9,28,11.8,6.6,5.6,37.9
29246,"sanaka","AD","M",45,80.1,73.8,28,12.1,7,5.7,38.6
29239,"sanaka","AD","M",44,81.5,73.8,26.9,12.3,6.9,6,39.3
28578,"insignis","AD","M",40,78.2,66.1,26.4,11.4,6.7,5.4,37.7
35663,"insignis","AHY","M",43,84,82.5,26.9,11.4,6.3,5.2,37.4
38749,"insignis","AHY","M",41,82.5,79.4,27.3,12.6,6.3,5.5,38.1
30366,"insignis","AHY","M",39,78.9,74.7,25.6,12.3,6.2,5.3,38.6
28552,"insignis","AD","M",41,82.7,78.1,26.5,13,6.8,5.4,39.3
30814,"insignis","AHY","M",47.5,82.2,76.9,25.8,11.9,6.6,5.5,39.5
28549,"insignis","AD","M",40,80.7,75.3,26.1,11.8,6.2,5.6,38.1
35664,"insignis","AHY","M",40,79.7,76.2,26.2,11.2,6.6,5.1,36.3
35666,"insignis","AD","M",39,82,72.8,26,11.7,6.6,4.5,37.3
31498,"insignis","AHY","M",39,77.7,71.7,25.8,12.1,6.3,5.1,37.9
11182,"caurina","AHY","M",28.6,71.8,64.1,24.1,10.4,6.1,5.1,36
11180,"caurina","AHY","M",28.1,71.9,66.6,22.4,11.3,4.8,4.5,37
11223,"caurina","AHY","M",27.6,71,82.5,24,10.2,5.9,4.6,39.9
11103,"caurina","AHY","M",27.6,71.6,63.7,26,11,6.4,4.9,36
11101,"caurina","AHY","M",27.6,71.8,65.5,22.5,11.6,6.4,5.2,36.3
11231,"caurina","AD","M",29.1,72.6,67.2,24.3,11.9,6.1,5.6,33.9
11104,"caurina","AHY","M",27.6,72.9,68.9,25.8,10.3,6.5,5.7,35.8
11141,"caurina","AHY","M",32.6,74.8,66.6,27.3,11.2,6.4,5.2,37.3
11361,"caurina","AHY","M",31,74.9,66.1,23.3,10.7,6.7,5.5,37
11382,"caurina","AHY","M",30,70.9,69.4,24.4,10.5,5.5,5.2,30.3
11384,"caurina","AHY","M",26.8,71,64.5,24.6,9.5,6,4.8,34.6
11383,"caurina","AHY","M",25.1,74.2,66.4,23.6,10.7,6.4,4.8,35.4
30365,"caurina","AHY","M",29,73.8,67.4,24.5,10.3,5.9,4.7,35.7
30364,"caurina","AHY","M",30,74.6,67.6,25.2,10.7,6.2,5.1,36.5
14941,"caurina","AD","M",28.5,73,65,23.9,10.3,5.9,4.9,35.1
10652,"caurina","AHY","M",27.5,70.8,64.6,23.9,10.3,6,5,34.9
11046,"caurina","AD","M",26.7,72,65.1,22.3,11.3,6.4,5.3,35.6
13944,"rufina","AHY","M",27,62.4,59.9,22.4,18.7,6,5.7,32.7
13438,"rufina","AD","M",25,67,64,23.9,9.8,6,4.7,33.1
13886,"rufina","AD","M",27.4,70.2,60.6,24.4,9.4,6.4,5.2,33.4
13941,"rufina","AHY","M",27.2,70.3,65.2,27.2,9.5,6.4,5.6,34.5
13916,"rufina","AD","M",26.2,71.5,68.5,23.6,9.9,11.4,5.4,34
13915,"rufina","AD","M",26.3,64.2,61.9,25.4,9.7,5.6,5.9,33.9
13943,"rufina","AHY","M",27.5,65.4,60.8,24.5,9.8,6,5.3,34.9
13945,"rufina","AHY","M",25.5,66.8,64.5,24.4,10.3,6,5,35.2
13913,"rufina","AD","M",28.9,67.8,63.3,24.8,9.3,6.3,5.6,34.2
15193,"rufina","AD","M",24.7,67.8,63.8,22.4,10,6.1,5.6,39
13463,"rufina","AD","M",27.2,68,66,23.7,10.1,6.3,5.6,35
13938,"rufina","AD","M",28.9,68,68.2,25.7,11.2,6,5.9,34.3
13953,"rufina","AHY","M",28.4,68.2,64,24.3,11.2,6.1,5.7,35.8
15086,"rufina","AHY","M",31.3,68.5,65,24.7,9.2,6.2,5,33.7
14658,"rufina","AHY","M",28.2,68.6,70.2,22.2,9.7,6.2,4.8,33.8
13952,"rufina","AD","M",26.6,69.5,66.4,22.4,10.8,5.7,5,39.9
14714,"rufina","AHY","M",27.4,69.6,67.1,23.8,9.8,6.3,4.4,33.3
13912,"rufina","AD","M",29,70.1,63.4,23.7,9.8,6,5.1,34.4
13911,"rufina","AD","M",29.2,71.1,69.9,24.7,10.1,6.6,5.7,34.5
13937,"rufina","AD","M",27,72.6,65.4,24.7,10.4,6.1,5,33.5
11824,"rufina","AHY","M",27.5,68.9,62.7,20.2,9.9,6.1,4.9,34.7
11517,"rufina","AD","M",26.3,65.7,64.2,23.7,9.9,6.1,5.1,33.6
11516,"rufina","AD","M",24.2,65.9,70.3,24.2,9.3,6.2,5.1,33.7
13910,"rufina","AD","M",28.6,69.4,64.3,25,10.6,6.7,5.5,35
11552,"rufina","AHY","M",28.9,70.9,65.3,23.4,10.2,6.3,5.1,33.7
13919,"rufina","AD","M",28.2,71.1,66.1,24.4,11.2,6.5,4.9,35.4
11550,"rufina","AHY","M",30,72.7,63.3,23.9,10.1,6.5,4.6,35.4
11179,"rufina","AHY","M",30.6,74.3,71.8,25.4,11.9,6.8,5,36.1
11549,"rufina","AHY","M",30.1,74.8,66.7,23.6,10.2,6.9,4.3,34.6
11546,"rufina","AHY","M",28.3,74.9,68.9,23.2,11,6.2,4.4,35.3
11547,"rufina","AHY","M",28.9,75,69.8,23.9,10.7,6.7,4.1,35.2
13909,"rufina","AD","M",29.5,71.9,68.9,28.8,11.1,6.2,4.9,35.4
13908,"rufina","AD","M",29,74.1,70.5,25.8,10.4,6.1,4.4,34.4
11548,"rufina","AHY","M",30.9,71.4,63.6,23,10.4,6.4,4.7,36.2
13080,"rufina","AHY","M",28.8,70.6,68,24.3,11.4,6.4,5.4,36.2
13079,"rufina","AHY","M",30.6,71.9,68.5,24.9,11.8,7,5.1,36
35795,"rufina","AHY","M",26.4,67.2,61.2,24.3,9.3,5.7,5.1,33.9
14944,"rufina","AD","M",28.4,65.1,65.4,25.9,9.9,5.8,4.7,33.9
14942,"rufina","AD","M",24.8,70.8,66.4,23.6,9.5,6.5,5.1,33.3
14943,"rufina","AD","M",26.2,70,66,23.7,9.8,6.7,5.5,34.6
13920,"rufina","AD","M",27.7,72.9,68.9,25.2,25.2,5.8,5,35.3
