"CATSFX","GENUS","SPECIES","SUBSPECIES","AGE","SEX","DATE","COUNTRY","STATE","COUNTY","SPECLOC","COLLCATNUM"
27914,"Melospiza","melodia","maxima","AD","M","02 Jun 2009","USA","Alaska","Aleutian Islands","Adak I., near old LORAN station","JJW249"
27919,"Melospiza","melodia","maxima","AD","M","12 Jun 2009","USA","Alaska","Aleutian Islands","Adak I., Shagak Bay","JJW348"
10188,"Melospiza","melodia","maxima","AHY","M","21 May 1999","USA","Alaska","Aleutian Islands","Adak Island","KSW2985"
10186,"Melospiza","melodia","maxima","AHY","M","23 May 1999","USA","Alaska","Aleutian Islands","Adak Island","KSW3012"
11175,"Melospiza","melodia","maxima","AHY","M","22 May 1999","USA","Alaska","Aleutian Islands","Adak Island","KSW2990"
11827,"Melospiza","melodia","maxima","AD","M","17 May 1999","USA","Alaska","Aleutian Islands","Adak Island","KSW2959"
11176,"Melospiza","melodia","maxima","AHY","M","24 May 1998","USA","Alaska","Aleutian Islands","Adak Island","CLP532"
11562,"Melospiza","melodia","maxima","AHY","M","23 May 1999","USA","Alaska","Aleutian Islands","Adak Island","TMB251"
11561,"Melospiza","melodia","maxima","AHY","M","23 May 1999","USA","Alaska","Aleutian Islands","Adak Island","TMB250"
11558,"Melospiza","melodia","maxima","AHY","M","23 May 1999","USA","Alaska","Aleutian Islands","Adak Island","TMB254"
11267,"Melospiza","melodia","maxima","AHY","M","24 May 1998","USA","Alaska","Aleutian Islands","Adak Island","CLP534"
11559,"Melospiza","melodia","maxima","AHY","M","23 May 1999","USA","Alaska","Aleutian Islands","Adak Island","TMB242"
11177,"Melospiza","melodia","maxima","AHY","M","24 May 1998","USA","Alaska","Aleutian Islands","Adak Island","CLP531"
36278,"Melospiza","melodia","maxima","AHY","M","27 May 2000","USA","Alaska","Aleutian Islands","Adak Island","CLP456"
11178,"Melospiza","melodia","maxima","AHY","M","21 May 1998","USA","Alaska","Aleutian Islands","Adak Island","CLP533"
11280,"Melospiza","melodia","maxima","AHY","M","23 May 1998","USA","Alaska","Aleutian Islands","Adak Island","ABJ078"
11268,"Melospiza","melodia","maxima","AHY","M","24 May 1998","USA","Alaska","Aleutian Islands","Adak Island","CLP535"
36552,"Melospiza","melodia","maxima","AHY","M","09 Jun 2005","USA","Alaska","Aleutian Islands","Agattu Island, Karab Cove","UAMX3401"
8461,"Melospiza","melodia","maxima","AD","M","21 May 1998","USA","Alaska","Aleutian Islands","Andreanof Island, Adak Island","UAMX481"
15319,"Melospiza","melodia","maxima","AHY","M","22 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP443"
10942,"Melospiza","melodia","maxima","AHY","M","16 Jun 1999","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP092"
11048,"Melospiza","melodia","maxima","AD","M","22 May 1999","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","KSW2992"
13059,"Melospiza","melodia","maxima","AHY","M","21 Jun 1999","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP123"
10040,"Melospiza","melodia","maxima","AHY","M","21 May 1999","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","KSW2984"
15326,"Melospiza","melodia","maxima","AHY","M","21 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP431"
11511,"Melospiza","melodia","maxima","AD","M","22 May 1999","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","KSW2991"
15340,"Melospiza","melodia","maxima","AHY","M","26 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP461"
15312,"Melospiza","melodia","maxima","AHY","M","22 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island",""
15307,"Melospiza","melodia","maxima","AD","M","21 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP430"
10179,"Melospiza","melodia","maxima","AD","M","24 May 1999","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","KSW3014"
11229,"Melospiza","melodia","maxima","AD","M","15 Jun 1999","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP069"
15353,"Melospiza","melodia","maxima","AHY","M","25 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP457"
14611,"Melospiza","melodia","maxima","AHY","M","18 Jun 1999","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP114"
15321,"Melospiza","melodia","maxima","AHY","M","22 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP446"
15298,"Melospiza","melodia","maxima","AHY","M","21 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP432"
15305,"Melospiza","melodia","maxima","AD","M","21 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP434"
15367,"Melospiza","melodia","maxima","AD","M","27 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP466"
10165,"Melospiza","melodia","maxima","AD","M","23 May 1999","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","KSW3010"
15339,"Melospiza","melodia","maxima","AHY","M","27 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP467"
10041,"Melospiza","melodia","maxima","AHY","M","21 May 1999","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","KSW2986"
10946,"Melospiza","melodia","maxima","AHY","M","17 Jun 1999","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP108"
13186,"Melospiza","melodia","maxima","AD","M","22 May 1999","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","KSW2997"
15315,"Melospiza","melodia","maxima","AHY","M","24 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP452"
15344,"Melospiza","melodia","maxima","AHY","M","19 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP410"
10170,"Melospiza","melodia","maxima","AHY","M","16 Jun 1999","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island, Finger Bay","CLP097"
11291,"Melospiza","melodia","maxima","AD","M","17 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Amlia Island","KSW3377"
11295,"Melospiza","melodia","maxima","AD","M","17 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Amlia Island","KSW3373"
11297,"Melospiza","melodia","maxima","AD","M","18 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Amlia Island","KSW3386"
11294,"Melospiza","melodia","maxima","AD","M","18 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Amlia Island","KSW3385"
11296,"Melospiza","melodia","maxima","AD","M","18 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Amlia Island","KSW3387"
11289,"Melospiza","melodia","maxima","AD","M","18 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Amlia Island","KSW3384"
13160,"Melospiza","melodia","maxima","AHY","M","18 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Amlia Island","KSW3380"
15323,"Melospiza","melodia","maxima","AHY","M","01 Sep 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Igitkin Island","DAR029"
8779,"Melospiza","melodia","maxima","AHY","M","06 Jun 1998","USA","Alaska","Aleutian Islands","Andreanof Islands, Kanaga Island, Kanaga Bay","UAMX721"
15318,"Melospiza","melodia","maxima","AHY","M","03 Sep 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Tanaga Island","DAR036"
27848,"Melospiza","melodia","maxima","AD","M","22 May 2010","USA","Alaska","Aleutian Islands","Attu I., Alexai Point, east tip","JJW770"
36621,"Melospiza","melodia","maxima","AHY","M","17 May 2002","USA","Alaska","Aleutian Islands","Attu I., Casco Cove, 52o47'0""N 173o9'27""E","KSW3964"
36623,"Melospiza","melodia","maxima","AHY","M","15 May 2002","USA","Alaska","Aleutian Islands","Attu I., Gilbert Ridge","KSW3958"
36618,"Melospiza","melodia","maxima","AHY","M","09 May 2004","USA","Alaska","Aleutian Islands","Attu I., Gilbert Ridge, 52o50'12.6""N 173o16'9.9""E","KGM842"
36622,"Melospiza","melodia","maxima","AHY","M","20 May 2002","USA","Alaska","Aleutian Islands","Attu I., Gilbert Ridge, 52o50'5""N 173o16'12""E","KSW3979"
27852,"Melospiza","melodia","maxima","AD","M","25 May 2009","USA","Alaska","Aleutian Islands","Attu i., Murder Point","JJW218"
38590,"Melospiza","melodia","maxima","AHY","M","06 May 2004","USA","Alaska","Aleutian Islands","Attu I., S side Murder Pen., 52.7979oN 173.1624oE","KGM833"
15116,"Melospiza","melodia","maxima","AHY","M","17 May 2002","USA","Alaska","Aleutian Islands","Attu Island","KSW3965"
36620,"Melospiza","melodia","maxima","AHY","M","03 May 2001","USA","Alaska","Aleutian Islands","Attu Island","DAR155"
34715,"Melospiza","melodia","maxima","AD","M","02 Jun 2002","USA","Alaska","Aleutian Islands","Attu Island","RWD26019"
31442,"Melospiza","melodia","maxima","AD","M","03 May 2001","USA","Alaska","Aleutian Islands","Attu Island","DAR158"
15117,"Melospiza","melodia","maxima","AHY","M","17 May 2002","USA","Alaska","Aleutian Islands","Attu Island","KSW3963"
15115,"Melospiza","melodia","maxima","AHY","M","16 May 2002","USA","Alaska","Aleutian Islands","Attu Island","KSW3959"
11173,"Melospiza","melodia","maxima","AHY","M","24 Aug 1999","USA","Alaska","Aleutian Islands","Attu Island","CLP310"
11174,"Melospiza","melodia","maxima","AHY","M","09 Sep 1999","USA","Alaska","Aleutian Islands","Attu Island","CLP366"
41447,"Melospiza","melodia","maxima","AD","M","24 May 2001","USA","Alaska","Aleutian Islands","Attu Island","UAMX1663"
11270,"Melospiza","melodia","maxima","AHY","M","28 Aug 1999","USA","Alaska","Aleutian Islands","Attu Island","CLP338"
31441,"Melospiza","melodia","maxima","AD","M","24 May 2000","USA","Alaska","Aleutian Islands","Attu Island","CLP453"
34547,"Melospiza","melodia","maxima","AD","M","28 May 2001","USA","Alaska","Aleutian Islands","Attu Island","UAMX1699"
21908,"Melospiza","melodia","maxima","AD","M","16 May 2004","USA","Alaska","Aleutian Islands","Attu Island, 52o51'22.0"",173o13'55.5""E,","KGM860"
34544,"Melospiza","melodia","maxima","AHY","M","15 May 2002","USA","Alaska","Aleutian Islands","Attu Island, Casco Point","KSW3957"
34545,"Melospiza","melodia","maxima","AHY","M","12 May 2002","USA","Alaska","Aleutian Islands","Attu Island, Gilbert Ridge","KSW3942"
27880,"Melospiza","melodia","maxima","AD","M","05 Jun 2009","USA","Alaska","Aleutian Islands","Kiska I., Kiska Harbor, bluffs S of sub base","JJW282"
27858,"Melospiza","melodia","maxima","AD","M","05 Jun 2009","USA","Alaska","Aleutian Islands","Kiska I., Kiska Harbor, bluffs S of sub base","JJW279"
27882,"Melospiza","melodia","maxima","AD","M","05 Jun 2009","USA","Alaska","Aleutian Islands","Kiska I., Kiska Harbor, N side of N. Head","JJW283"
27884,"Melospiza","melodia","maxima","AD","M","08 Jun 2009","USA","Alaska","Aleutian Islands","Little Kiska","JJW323"
27883,"Melospiza","melodia","maxima","AD","M","08 Jun 2009","USA","Alaska","Aleutian Islands","Little Kiska","JJW321"
11227,"Melospiza","melodia","maxima","AD","M","11 Sep 1999","USA","Alaska","Aleutian Islands","Near Islands, Attu Island","CLP371"
8612,"Melospiza","melodia","maxima","AHY","M","05 Sep 1997","USA","Alaska","Aleutian Islands","Near Islands, Attu Island","KSW1862"
15299,"Melospiza","melodia","maxima","AHY","M","13 May 2002","USA","Alaska","Aleutian Islands","Near Islands, Attu Island","KSW3949"
15358,"Melospiza","melodia","maxima","AHY","M","16 May 2001","USA","Alaska","Aleutian Islands","Near Islands, Attu Island","DAR188"
15304,"Melospiza","melodia","maxima","AHY","M","24 May 2001","USA","Alaska","Aleutian Islands","Near Islands, Attu Island","UAMX1666"
15343,"Melospiza","melodia","maxima","AD","M","24 May 2001","USA","Alaska","Aleutian Islands","Near Islands, Attu Island","UAMX1665"
15354,"Melospiza","melodia","maxima","AHY","M","24 May 2001","USA","Alaska","Aleutian Islands","Near Islands, Attu Island","UAMX1669"
14165,"Melospiza","melodia","maxima","AHY","M","24 May 2001","USA","Alaska","Aleutian Islands","Near Islands, Attu Island","UAMX1658"
9305,"Melospiza","melodia","maxima","AHY","M","02 Sep 1999","USA","Alaska","Aleutian Islands","Near Islands, Attu Island","CLP350"
15330,"Melospiza","melodia","maxima","AHY","M","14 May 2002","USA","Alaska","Aleutian Islands","Near Islands, Attu Island","KSW3953"
15342,"Melospiza","melodia","maxima","AD","M","07 Oct 2000","USA","Alaska","Aleutian Islands","Near Islands, Attu Island","DAR114"
8462,"Melospiza","melodia","maxima","AHY","M","04 Sep 1997","USA","Alaska","Aleutian Islands","Near Islands, Attu Island","KSW1776"
9302,"Melospiza","melodia","maxima","AHY","M","24 Aug 1999","USA","Alaska","Aleutian Islands","Near Islands, Attu Island","CLP309"
15378,"Melospiza","melodia","maxima","AHY","M","16 May 2001","USA","Alaska","Aleutian Islands","Near Islands, Attu Island","DAR177"
15356,"Melospiza","melodia","maxima","AHY","M","24 May 2001","USA","Alaska","Aleutian Islands","Near Islands, Attu Island","UAMX1661"
15331,"Melospiza","melodia","maxima","AHY","M","20 May 2002","USA","Alaska","Aleutian Islands","Near Islands, Attu Island","KSW3978"
15302,"Melospiza","melodia","maxima","AHY","M","05 May 2001","USA","Alaska","Aleutian Islands","Near Islands, Attu Island","DAR162"
15313,"Melospiza","melodia","maxima","AHY","M","24 May 2001","USA","Alaska","Aleutian Islands","Near Islands, Attu Island","UAMX1670"
15352,"Melospiza","melodia","maxima","AHY","M","24 May 2001","USA","Alaska","Aleutian Islands","Near Islands, Attu Island","UAMX1671"
8463,"Melospiza","melodia","maxima","AHY","M","04 Sep 1997","USA","Alaska","Aleutian Islands","Near Islands, Attu Island","KSW1774"
20672,"Melospiza","melodia","maxima","AHY","M","19 Sep 2004","USA","Alaska","Aleutian Islands","Near Islands, Attu Island, Casco bluffs","REW507"
10073,"Melospiza","melodia","maxima","AHY","M","26 Feb 1999","USA","Alaska","Aleutian Islands","Near Islands, Attu Island, Casco Cove","UAMX708"
15363,"Melospiza","melodia","maxima","AHY","M","18 May 2001","USA","Alaska","Aleutian Islands","Near Islands, Attu Island, Casco Cove","DAR214"
20674,"Melospiza","melodia","maxima","AHY","M","15 Sep 2004","USA","Alaska","Aleutian Islands","Near Islands, Attu Island, Gilbert Ridge","REW699"
20518,"Melospiza","melodia","maxima","AHY","M","17 Sep 2004","USA","Alaska","Aleutian Islands","Near Islands, Attu Island, near Loaf Island","REW501"
15320,"Melospiza","melodia","maxima","AHY","M","08 May 2001","USA","Alaska","Aleutian Islands","Near Islands, Attu Islands","DAR168"
19048,"Melospiza","melodia","maxima","AD","M","22 May 1999","USA","Alaska","Aleutian Islands","Near Islands, Shemya Island","DDG1727"
10944,"Melospiza","melodia","maxima","AHY","M","14 May 1999","USA","Alaska","Aleutian Islands","Near Islands, Shemya Island","CLP487"
13128,"Melospiza","melodia","maxima","AD","M","21 May 1999","USA","Alaska","Aleutian Islands","Near Islands, Shemya Island","DDG1724"
11243,"Melospiza","melodia","maxima","AHY","M","28 Feb 2000","USA","Alaska","Aleutian Islands","Near Islands, Shemya Island","DDG1758"
